2024-12-08 19:25:04 root:INFO:  Arguments
2024-12-08 19:25:04 root:INFO:  alpha: 0.1
2024-12-08 19:25:04 root:INFO:  eta: 1
2024-12-08 19:25:04 root:INFO:  epoch: 200
2024-12-08 19:25:04 root:INFO:  save_dir: ./temp
2024-12-08 19:25:04 root:INFO:  save_name: temp-name
2024-12-08 19:25:05 root:INFO:  Epoch 1	 delta_equalized_odds 13.37%	 delta_equal_opportunity 13.37%	 delta_demographic_parity 18.89%	 test_accuracy 85.01%	 test_auroc 0.907 
2024-12-08 19:25:05 root:INFO:  Epoch 2	 delta_equalized_odds 15.95%	 delta_equal_opportunity 15.95%	 delta_demographic_parity 18.60%	 test_accuracy 84.81%	 test_auroc 0.907 
2024-12-08 19:25:05 root:INFO:  Epoch 3	 delta_equalized_odds 8.32%	 delta_equal_opportunity 8.32%	 delta_demographic_parity 16.29%	 test_accuracy 84.82%	 test_auroc 0.907 
2024-12-08 19:25:06 root:INFO:  Epoch 4	 delta_equalized_odds 5.34%	 delta_equal_opportunity 0.74%	 delta_demographic_parity 14.16%	 test_accuracy 84.97%	 test_auroc 0.906 
2024-12-08 19:25:06 root:INFO:  Epoch 5	 delta_equalized_odds 4.20%	 delta_equal_opportunity 2.41%	 delta_demographic_parity 12.69%	 test_accuracy 84.87%	 test_auroc 0.905 
2024-12-08 19:25:06 root:INFO:  Epoch 6	 delta_equalized_odds 3.84%	 delta_equal_opportunity 3.15%	 delta_demographic_parity 12.29%	 test_accuracy 84.94%	 test_auroc 0.905 
2024-12-08 19:25:07 root:INFO:  Epoch 7	 delta_equalized_odds 4.08%	 delta_equal_opportunity 2.17%	 delta_demographic_parity 12.61%	 test_accuracy 84.95%	 test_auroc 0.905 
2024-12-08 19:25:07 root:INFO:  Epoch 8	 delta_equalized_odds 4.40%	 delta_equal_opportunity 1.36%	 delta_demographic_parity 12.98%	 test_accuracy 85.01%	 test_auroc 0.906 
2024-12-08 19:25:08 root:INFO:  Epoch 9	 delta_equalized_odds 4.67%	 delta_equal_opportunity 0.55%	 delta_demographic_parity 13.31%	 test_accuracy 85.04%	 test_auroc 0.906 
2024-12-08 19:25:08 root:INFO:  Epoch 10	 delta_equalized_odds 4.68%	 delta_equal_opportunity 0.02%	 delta_demographic_parity 13.35%	 test_accuracy 85.01%	 test_auroc 0.906 
2024-12-08 19:25:09 root:INFO:  Epoch 11	 delta_equalized_odds 4.60%	 delta_equal_opportunity 0.41%	 delta_demographic_parity 13.32%	 test_accuracy 85.02%	 test_auroc 0.906 
2024-12-08 19:25:09 root:INFO:  Epoch 12	 delta_equalized_odds 4.49%	 delta_equal_opportunity 0.48%	 delta_demographic_parity 13.22%	 test_accuracy 85.02%	 test_auroc 0.906 
2024-12-08 19:25:09 root:INFO:  Epoch 13	 delta_equalized_odds 4.45%	 delta_equal_opportunity 0.23%	 delta_demographic_parity 13.02%	 test_accuracy 84.96%	 test_auroc 0.906 
2024-12-08 19:25:10 root:INFO:  Epoch 14	 delta_equalized_odds 4.42%	 delta_equal_opportunity 0.21%	 delta_demographic_parity 13.03%	 test_accuracy 84.96%	 test_auroc 0.906 
2024-12-08 19:25:10 root:INFO:  Epoch 15	 delta_equalized_odds 4.39%	 delta_equal_opportunity 0.06%	 delta_demographic_parity 12.97%	 test_accuracy 84.97%	 test_auroc 0.906 
2024-12-08 19:25:11 root:INFO:  Epoch 16	 delta_equalized_odds 4.30%	 delta_equal_opportunity 0.07%	 delta_demographic_parity 12.82%	 test_accuracy 84.92%	 test_auroc 0.906 
2024-12-08 19:25:11 root:INFO:  Epoch 17	 delta_equalized_odds 4.23%	 delta_equal_opportunity 0.37%	 delta_demographic_parity 12.81%	 test_accuracy 84.94%	 test_auroc 0.906 
2024-12-08 19:25:11 root:INFO:  Epoch 18	 delta_equalized_odds 4.14%	 delta_equal_opportunity 0.62%	 delta_demographic_parity 12.74%	 test_accuracy 84.95%	 test_auroc 0.906 
2024-12-08 19:25:12 root:INFO:  Epoch 19	 delta_equalized_odds 4.10%	 delta_equal_opportunity 1.06%	 delta_demographic_parity 12.74%	 test_accuracy 84.93%	 test_auroc 0.906 
2024-12-08 19:25:12 root:INFO:  Epoch 20	 delta_equalized_odds 4.09%	 delta_equal_opportunity 1.25%	 delta_demographic_parity 12.70%	 test_accuracy 84.87%	 test_auroc 0.906 
2024-12-08 19:25:13 root:INFO:  Epoch 21	 delta_equalized_odds 4.08%	 delta_equal_opportunity 1.37%	 delta_demographic_parity 12.68%	 test_accuracy 84.86%	 test_auroc 0.906 
2024-12-08 19:25:13 root:INFO:  Epoch 22	 delta_equalized_odds 4.09%	 delta_equal_opportunity 2.14%	 delta_demographic_parity 12.78%	 test_accuracy 84.87%	 test_auroc 0.906 
2024-12-08 19:25:13 root:INFO:  Epoch 23	 delta_equalized_odds 4.13%	 delta_equal_opportunity 2.43%	 delta_demographic_parity 12.82%	 test_accuracy 84.86%	 test_auroc 0.906 
2024-12-08 19:25:14 root:INFO:  Epoch 24	 delta_equalized_odds 4.06%	 delta_equal_opportunity 2.28%	 delta_demographic_parity 12.72%	 test_accuracy 84.86%	 test_auroc 0.906 
2024-12-08 19:25:14 root:INFO:  Epoch 25	 delta_equalized_odds 4.06%	 delta_equal_opportunity 2.25%	 delta_demographic_parity 12.67%	 test_accuracy 84.82%	 test_auroc 0.906 
2024-12-08 19:25:14 root:INFO:  Epoch 26	 delta_equalized_odds 3.97%	 delta_equal_opportunity 2.45%	 delta_demographic_parity 12.56%	 test_accuracy 84.77%	 test_auroc 0.906 
2024-12-08 19:25:15 root:INFO:  Epoch 27	 delta_equalized_odds 3.96%	 delta_equal_opportunity 2.25%	 delta_demographic_parity 12.50%	 test_accuracy 84.76%	 test_auroc 0.906 
2024-12-08 19:25:15 root:INFO:  Epoch 28	 delta_equalized_odds 3.99%	 delta_equal_opportunity 2.02%	 delta_demographic_parity 12.41%	 test_accuracy 84.66%	 test_auroc 0.906 
2024-12-08 19:25:16 root:INFO:  Epoch 29	 delta_equalized_odds 3.86%	 delta_equal_opportunity 2.20%	 delta_demographic_parity 12.32%	 test_accuracy 84.69%	 test_auroc 0.906 
2024-12-08 19:25:16 root:INFO:  Epoch 30	 delta_equalized_odds 3.84%	 delta_equal_opportunity 2.07%	 delta_demographic_parity 12.23%	 test_accuracy 84.69%	 test_auroc 0.906 
2024-12-08 19:25:16 root:INFO:  Epoch 31	 delta_equalized_odds 3.89%	 delta_equal_opportunity 1.99%	 delta_demographic_parity 12.21%	 test_accuracy 84.64%	 test_auroc 0.906 
2024-12-08 19:25:17 root:INFO:  Epoch 32	 delta_equalized_odds 3.76%	 delta_equal_opportunity 2.19%	 delta_demographic_parity 12.07%	 test_accuracy 84.60%	 test_auroc 0.906 
2024-12-08 19:25:17 root:INFO:  Epoch 33	 delta_equalized_odds 3.60%	 delta_equal_opportunity 1.94%	 delta_demographic_parity 11.89%	 test_accuracy 84.62%	 test_auroc 0.906 
2024-12-08 19:25:17 root:INFO:  Epoch 34	 delta_equalized_odds 3.53%	 delta_equal_opportunity 2.87%	 delta_demographic_parity 11.92%	 test_accuracy 84.61%	 test_auroc 0.906 
2024-12-08 19:25:18 root:INFO:  Epoch 35	 delta_equalized_odds 3.46%	 delta_equal_opportunity 2.77%	 delta_demographic_parity 11.85%	 test_accuracy 84.62%	 test_auroc 0.906 
2024-12-08 19:25:18 root:INFO:  Epoch 36	 delta_equalized_odds 3.35%	 delta_equal_opportunity 2.84%	 delta_demographic_parity 11.74%	 test_accuracy 84.62%	 test_auroc 0.906 
2024-12-08 19:25:19 root:INFO:  Epoch 37	 delta_equalized_odds 3.32%	 delta_equal_opportunity 2.45%	 delta_demographic_parity 11.61%	 test_accuracy 84.58%	 test_auroc 0.906 
2024-12-08 19:25:19 root:INFO:  Epoch 38	 delta_equalized_odds 3.21%	 delta_equal_opportunity 2.79%	 delta_demographic_parity 11.53%	 test_accuracy 84.57%	 test_auroc 0.906 
