2024-11-28 13:40:21 root:INFO:  Arguments
2024-11-28 13:40:21 root:INFO:  alpha: 0
2024-11-28 13:40:21 root:INFO:  eta: 0
2024-11-28 13:40:21 root:INFO:  epoch: 200
2024-11-28 13:40:21 root:INFO:  save_dir: ./temp
2024-11-28 13:40:21 root:INFO:  save_name: temp-name
2024-11-28 13:40:21 root:INFO:  Epoch 1	 delta_equalized_odds 9.91%	 delta_equal_opportunity 9.91%	 delta_demographic_parity 18.36%	 test_accuracy 84.66%	 test_auroc 0.902 
2024-11-28 13:40:22 root:INFO:  Epoch 2	 delta_equalized_odds 9.91%	 delta_equal_opportunity 9.91%	 delta_demographic_parity 18.36%	 test_accuracy 84.66%	 test_auroc 0.902 
2024-11-28 13:40:22 root:INFO:  Epoch 3	 delta_equalized_odds 7.45%	 delta_equal_opportunity 6.32%	 delta_demographic_parity 17.28%	 test_accuracy 84.63%	 test_auroc 0.902 
2024-11-28 13:40:22 root:INFO:  Epoch 4	 delta_equalized_odds 6.74%	 delta_equal_opportunity 3.16%	 delta_demographic_parity 16.17%	 test_accuracy 84.50%	 test_auroc 0.902 
2024-11-28 13:40:22 root:INFO:  Epoch 5	 delta_equalized_odds 6.21%	 delta_equal_opportunity 0.26%	 delta_demographic_parity 15.33%	 test_accuracy 84.46%	 test_auroc 0.901 
2024-11-28 13:40:23 root:INFO:  Epoch 6	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.61%	 delta_demographic_parity 15.04%	 test_accuracy 84.46%	 test_auroc 0.901 
2024-11-28 13:40:23 root:INFO:  Epoch 7	 delta_equalized_odds 6.00%	 delta_equal_opportunity 0.71%	 delta_demographic_parity 14.99%	 test_accuracy 84.43%	 test_auroc 0.901 
2024-11-28 13:40:23 root:INFO:  Epoch 8	 delta_equalized_odds 5.94%	 delta_equal_opportunity 0.74%	 delta_demographic_parity 14.93%	 test_accuracy 84.42%	 test_auroc 0.901 
2024-11-28 13:40:24 root:INFO:  Epoch 9	 delta_equalized_odds 5.94%	 delta_equal_opportunity 0.71%	 delta_demographic_parity 14.94%	 test_accuracy 84.42%	 test_auroc 0.901 
2024-11-28 13:40:24 root:INFO:  Epoch 10	 delta_equalized_odds 6.00%	 delta_equal_opportunity 0.71%	 delta_demographic_parity 14.99%	 test_accuracy 84.43%	 test_auroc 0.901 
2024-11-28 13:40:25 root:INFO:  Epoch 11	 delta_equalized_odds 6.00%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.00%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:25 root:INFO:  Epoch 12	 delta_equalized_odds 6.00%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.00%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:25 root:INFO:  Epoch 13	 delta_equalized_odds 6.00%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.00%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:25 root:INFO:  Epoch 14	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:26 root:INFO:  Epoch 15	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:26 root:INFO:  Epoch 16	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:26 root:INFO:  Epoch 17	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:27 root:INFO:  Epoch 18	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:27 root:INFO:  Epoch 19	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:27 root:INFO:  Epoch 20	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
2024-11-28 13:40:28 root:INFO:  Epoch 21	 delta_equalized_odds 6.02%	 delta_equal_opportunity 0.68%	 delta_demographic_parity 15.02%	 test_accuracy 84.44%	 test_auroc 0.901 
