2024-11-30 09:52:21 root:INFO:  Arguments
2024-11-30 09:52:21 root:INFO:  alpha: 0.01
2024-11-30 09:52:21 root:INFO:  eta: 1.0
2024-11-30 09:52:21 root:INFO:  epoch: 200
2024-11-30 09:52:21 root:INFO:  save_dir: ./temp
2024-11-30 09:52:21 root:INFO:  save_name: temp-name
2024-11-30 09:52:21 root:INFO:  Epoch 1	 delta_equalized_odds 11.77%	 delta_equal_opportunity 11.77%	 delta_demographic_parity 19.01%	 test_accuracy 85.30%	 test_auroc 0.911 
2024-11-30 09:52:22 root:INFO:  Epoch 2	 delta_equalized_odds 14.06%	 delta_equal_opportunity 14.06%	 delta_demographic_parity 18.63%	 test_accuracy 85.18%	 test_auroc 0.911 
2024-11-30 09:52:22 root:INFO:  Epoch 3	 delta_equalized_odds 6.92%	 delta_equal_opportunity 6.92%	 delta_demographic_parity 16.67%	 test_accuracy 85.16%	 test_auroc 0.911 
2024-11-30 09:52:22 root:INFO:  Epoch 4	 delta_equalized_odds 5.09%	 delta_equal_opportunity 0.45%	 delta_demographic_parity 14.87%	 test_accuracy 85.10%	 test_auroc 0.91 
2024-11-30 09:52:23 root:INFO:  Epoch 5	 delta_equalized_odds 4.44%	 delta_equal_opportunity 1.97%	 delta_demographic_parity 13.84%	 test_accuracy 84.93%	 test_auroc 0.909 
2024-11-30 09:52:23 root:INFO:  Epoch 6	 delta_equalized_odds 4.20%	 delta_equal_opportunity 3.23%	 delta_demographic_parity 13.38%	 test_accuracy 84.84%	 test_auroc 0.909 
2024-11-30 09:52:23 root:INFO:  Epoch 7	 delta_equalized_odds 4.24%	 delta_equal_opportunity 2.70%	 delta_demographic_parity 13.47%	 test_accuracy 84.87%	 test_auroc 0.909 
2024-11-30 09:52:24 root:INFO:  Epoch 8	 delta_equalized_odds 4.40%	 delta_equal_opportunity 2.41%	 delta_demographic_parity 13.65%	 test_accuracy 84.89%	 test_auroc 0.909 
2024-11-30 09:52:25 root:INFO:  Epoch 9	 delta_equalized_odds 4.52%	 delta_equal_opportunity 1.59%	 delta_demographic_parity 13.83%	 test_accuracy 84.90%	 test_auroc 0.91 
2024-11-30 09:52:25 root:INFO:  Epoch 10	 delta_equalized_odds 4.56%	 delta_equal_opportunity 0.82%	 delta_demographic_parity 13.94%	 test_accuracy 84.91%	 test_auroc 0.91 
2024-11-30 09:52:25 root:INFO:  Epoch 11	 delta_equalized_odds 4.60%	 delta_equal_opportunity 0.63%	 delta_demographic_parity 13.99%	 test_accuracy 84.91%	 test_auroc 0.91 
2024-11-30 09:52:25 root:INFO:  Epoch 12	 delta_equalized_odds 4.46%	 delta_equal_opportunity 0.73%	 delta_demographic_parity 13.87%	 test_accuracy 84.98%	 test_auroc 0.91 
2024-11-30 09:52:26 root:INFO:  Epoch 13	 delta_equalized_odds 4.44%	 delta_equal_opportunity 0.78%	 delta_demographic_parity 13.77%	 test_accuracy 84.91%	 test_auroc 0.91 
2024-11-30 09:52:26 root:INFO:  Epoch 14	 delta_equalized_odds 4.40%	 delta_equal_opportunity 0.59%	 delta_demographic_parity 13.70%	 test_accuracy 84.85%	 test_auroc 0.91 
2024-11-30 09:52:27 root:INFO:  Epoch 15	 delta_equalized_odds 4.29%	 delta_equal_opportunity 0.45%	 delta_demographic_parity 13.61%	 test_accuracy 84.86%	 test_auroc 0.91 
2024-11-30 09:52:27 root:INFO:  Epoch 16	 delta_equalized_odds 4.13%	 delta_equal_opportunity 0.35%	 delta_demographic_parity 13.49%	 test_accuracy 84.96%	 test_auroc 0.91 
2024-11-30 09:52:27 root:INFO:  Epoch 17	 delta_equalized_odds 4.01%	 delta_equal_opportunity 0.26%	 delta_demographic_parity 13.38%	 test_accuracy 84.99%	 test_auroc 0.91 
